plot;guild
Hylurgus.ligniperda;conif
Gnathotrichus.materiarius;conif
Rhizophagus.depressus;conif
Hylastes.opacus;conif
Pityophthorus.pubescens;conif
Thanasimus.formicarius;conif
Hylurgops.palliatus;conif
Hylastes.attenuatus;conif
Tomicus.piniperda;conif
Hylastes.linearis;conif
Cryptarcha.undata;decid
Cryptolestes.duplicatus;decid
Dasytes.caeruleus;decid
Eulagius.filicornis;decid
Anaspis.fasciata;decid
Clytus.arietis;decid
Grammoptera.abdominalis;decid
Hylis.olexai;decid
Leiopus.nebulosus;decid
Platystomos.albinus;decid
Aspidiphorus.orbiculatus;decid
Calambus.bipustulatus;decid
Glischrochilus.hortensis;decid
Triplax.russica;decid
Gastrallus.immarginatus;decid
Trypodendron.domesticum;decid
Silvanus.unidentatus;decid
Soronia.punctatissima;decid
Triplax.lepida;decid
Ischnomera.cyanea;decid
Stenagostus.rhombeus;decid
Tritoma.bipustulata;decid
Mesosa.nebulosa;decid
Phymatodes.testaceus;decid
Melandrya.barbata;decid
Mycetochara.maura;decid
Stenurella.melanura;decid
Megatoma.undata;decid
Anaspis.garneysi;decid
Lissodema.denticolle;decid
Cartodere.nodifer;decid
Rutpela.maculata;decid
Cortinicara.gibbosa;decid
Pyrrhidium.sanguineum;decid
Salpingus.planirostris;decid
Salpingus.ruficollis;decid
Hemicoelus.fulvicornis;decid
Taphrorychus.villifrons;decid
Cerylon.ferrugineum;decid
Glischrochilus.quadriguttatus;decid
Platycerus.caraboides;decid
Rhagium.mordax;decid
Tropideres.albirostris;decid
Ampedus.sanguinolentus;decid
Clerus.mutillarius;decid
Cortodera.humeralis;decid
Microrhagus.pygmaeus;decid
Cerambyx.scopolii;decid
Aplocnemus.impressus;decid
Vincenzellus.ruficollis;decid
Cis.micans;decid
Xyleborus.monographus;decid
Cryptarcha.strigata;decid
Enicmus.rugosus;decid
Ampedus.quercicola;decid
Litargus.connexus;decid
Xylosandrus.germanus;decid
Cetonia.aurata;decid
Rhagium.sycophanta;decid
Enicmus.testaceus;decid
Dacne.bipustulata;decid
Scolytus.intricatus;decid
Trypodendron.signatum;decid
Ampedus.nigerrimus;decid
Melasis.buprestoides;decid
Melanotus.villosus;decid
Rhizophagus.bipustulatus;decid
Xyleborinus.saxesenii;decid
Soronia.grisea;decid
Thymalus.limbatus;generalist
Nalassus.laevioctostriatus;generalist
Ampedus.balteatus;generalist
Abdera.bifasciata;decid
Cyclorhipidion.bodoanus;decid
Orthocis.vestitus;decid
Anaspis.melanopa;decid
Isoriphis.melasoides;decid
Ampedus.glycerus;decid
Xyleborus.dispar;decid
