species;guild;guild2
Hylurgus.ligniperda;conif;conif
Gnathotrichus.materiarius;conif;conif
Hylastes.opacus;conif;conif
Pityophthorus.pubescens;conif;conif
Hylurgops.palliatus;conif;conif
Hylastes.attenuatus;conif;conif
Tomicus.piniperda;conif;conif
Hylastes.linearis;conif;conif
Rhizophagus.depressus;conif;conif
Thanasimus.formicarius;conif;conif
Clytus.arietis;decid;decid
Hylis.olexai;decid;decidgen
Aspidiphorus.orbiculatus;decid;decidgen
Stenagostus.rhombeus;decid;decidgen
Stenurella.melanura;decid;decidgen
Megatoma.undata;decid;decidgen
Cartodere.nodifer;decid;decidgen
Rutpela.maculata;decid;decidgen
Salpingus.planirostris;decid;decidgen
Salpingus.ruficollis;decid;decidgen
Cerylon.ferrugineum;decid;decidgen
Platycerus.caraboides;decid;decidgen
Aplocnemus.impressus;decid;decidgen
Cis.micans;decid;decidgen
Enicmus.rugosus;decid;decidgen
Litargus.connexus;decid;decidgen
Xylosandrus.germanus;decid;decidgen
Dacne.bipustulata;decid;decidgen
Melanotus.villosus;decid;decidgen
Rhizophagus.bipustulatus;decid;decidgen
Xyleborinus.saxesenii;decid;decidgen
Ampedus.glycerus;decid;decidgen
Xyleborus.dispar;decid;decidgen
Cryptarcha.undata;decid;decidspe
Cryptolestes.duplicatus;decid;decidspe
Dasytes.caeruleus;decid;decidspe
Eulagius.filicornis;decid;decidspe
Anaspis.fasciata;decid;decidspe
Grammoptera.abdominalis;decid;decidspe
Leiopus.nebulosus;decid;decidspe
Platystomos.albinus;decid;decidspe
Calambus.bipustulatus;decid;decidspe
Glischrochilus.hortensis;decid;decidspe
Triplax.russica;decid;decidspe
Gastrallus.immarginatus;decid;decidspe
Trypodendron.domesticum;decid;decidspe
Silvanus.unidentatus;decid;decidspe
Soronia.punctatissima;decid;decidspe
Triplax.lepida;decid;decidspe
Ischnomera.cyanea;decid;decidspe
Tritoma.bipustulata;decid;decidspe
Mesosa.nebulosa;decid;decidspe
Phymatodes.testaceus;decid;decidspe
Melandrya.barbata;decid;decidspe
Mycetochara.maura;decid;decidspe
Anaspis.garneysi;decid;decidspe
Lissodema.denticolle;decid;decidspe
Cortinicara.gibbosa;decid;decidspe
Pyrrhidium.sanguineum;decid;decidspe
Hemicoelus.fulvicornis;decid;decidspe
Taphrorychus.villifrons;decid;decidspe
Glischrochilus.quadriguttatus;decid;decidspe
Rhagium.mordax;decid;decidspe
Tropideres.albirostris;decid;decidspe
Ampedus.sanguinolentus;decid;decidspe
Clerus.mutillarius;decid;decidspe
Cortodera.humeralis;decid;decidspe
Microrhagus.pygmaeus;decid;decidspe
Cerambyx.scopolii;decid;decidspe
Vincenzellus.ruficollis;decid;decidspe
Xyleborus.monographus;decid;decidspe
Cryptarcha.strigata;decid;decidspe
Ampedus.quercicola;decid;decidspe
Cetonia.aurata;decid;decidspe
Rhagium.sycophanta;decid;decidspe
Enicmus.testaceus;decid;decidspe
Scolytus.intricatus;decid;decidspe
Trypodendron.signatum;decid;decidspe
Ampedus.nigerrimus;decid;decidspe
Melasis.buprestoides;decid;decidspe
Soronia.grisea;decid;decidspe
Abdera.bifasciata;decid;decidspe
Cyclorhipidion.bodoanus;decid;decidspe
Orthocis.vestitus;decid;decidspe
Anaspis.melanopa;decid;decidspe
Isoriphis.melasoides;decid;decidspe
Thymalus.limbatus;generalist;generalist
Nalassus.laevioctostriatus;generalist;generalist
Ampedus.balteatus;generalist;generalist
